timestamp,location,temperature,temperatureUnit,precipitationProbability,windSpeed,windDirection,shortForecast
2025-11-02 10:35:00,Wilmington,67,F,29,9 mph,NE,Partly Sunny then Chance Light Rain
2025-11-02 10:35:00,Raleigh,65,F,15,2 to 6 mph,E,Mostly Sunny then Slight Chance Light Rain
2025-11-02 10:35:00,Charlotte,40,F,0,2 mph,NE,Partly Cloudy
2025-11-06 13:36:00,Wilmington,68,F,0,6 to 9 mph,NE,Sunny
2025-11-06 13:37:00,Raleigh,66,F,0,3 to 7 mph,NE,Sunny
2025-11-06 13:37:00,Charlotte,68,F,0,5 to 9 mph,NE,Sunny
2025-11-06 14:09:00,Wilmington,68,F,0,6 to 9 mph,NE,Sunny
2025-11-06 14:09:00,Raleigh,66,F,0,6 mph,NE,Sunny
2025-11-06 14:09:00,Charlotte,68,F,0,5 to 9 mph,NE,Sunny
2025-11-07 10:03:00,Wilmington,73,F,14,8 mph,SE,Mostly Sunny
2025-11-07 10:03:00,Raleigh,70,F,7,6 to 9 mph,S,Mostly Sunny
2025-11-07 10:03:00,Charlotte,69,F,0,2 to 8 mph,SSE,Mostly Sunny
2025-11-07 14:44:00,Wilmington,73,F,7,8 mph,S,Sunny
2025-11-07 14:44:00,Raleigh,70,F,0,8 mph,S,Sunny
2025-11-07 14:44:00,Charlotte,69,F,0,9 mph,SSW,Mostly Sunny
2025-11-10 12:29:00,Wilmington,56,F,0,13 mph,NW,Sunny
2025-11-10 12:29:00,Raleigh,52,F,0,9 to 13 mph,NW,Sunny
2025-11-10 12:29:00,Charlotte,46,F,0,8 to 16 mph,NW,Sunny
2025-11-10 12:34:00,Wilmington,56,F,0,13 mph,NW,Sunny
2025-11-10 12:34:00,Raleigh,52,F,0,9 to 13 mph,NW,Sunny
2025-11-10 12:34:00,Charlotte,46,F,4,12 to 15 mph,WNW,Mostly Sunny
2025-11-10 13:28:00,Wilmington,56,F,0,12 mph,NW,Sunny
2025-11-10 13:28:00,Raleigh,51,F,0,12 mph,NW,Sunny
2025-11-10 13:28:00,Charlotte,46,F,4,12 to 15 mph,WNW,Mostly Sunny
2025-11-10 13:29:00,Wilmington,56,F,0,12 mph,NW,Sunny
2025-11-10 13:29:00,Raleigh,51,F,0,12 mph,NW,Sunny
2025-11-10 13:29:00,Charlotte,46,F,4,12 to 15 mph,WNW,Mostly Sunny
2025-11-10 13:30:00,Wilmington,56,F,0,12 mph,NW,Sunny
2025-11-10 13:30:00,Raleigh,51,F,0,12 mph,NW,Sunny
2025-11-10 13:30:00,Charlotte,46,F,4,12 to 15 mph,WNW,Mostly Sunny
2025-11-10 13:31:00,Wilmington,56,F,0,12 mph,NW,Sunny
2025-11-10 13:31:00,Raleigh,51,F,0,12 mph,NW,Sunny
2025-11-10 13:31:00,Charlotte,46,F,4,12 to 15 mph,WNW,Mostly Sunny
2025-11-10 13:32:00,Wilmington,56,F,0,12 mph,NW,Sunny
2025-11-10 13:32:00,Raleigh,51,F,0,12 mph,NW,Sunny
2025-11-10 13:32:00,Charlotte,46,F,4,12 to 15 mph,WNW,Mostly Sunny
2025-11-10 13:33:00,Wilmington,56,F,0,12 mph,NW,Sunny
2025-11-10 13:33:00,Raleigh,51,F,0,12 mph,NW,Sunny
2025-11-10 13:33:00,Charlotte,46,F,4,12 to 15 mph,WNW,Mostly Sunny
2025-11-10 13:34:00,Wilmington,56,F,0,12 mph,NW,Sunny
2025-11-10 13:34:00,Raleigh,51,F,0,12 mph,NW,Sunny
2025-11-10 13:34:00,Charlotte,46,F,4,12 to 15 mph,WNW,Mostly Sunny
2025-11-10 16:23:00,Wilmington,56,F,0,14 mph,W,Sunny
2025-11-10 16:23:00,Raleigh,51,F,0,12 mph,NW,Sunny
2025-11-10 16:23:00,Charlotte,46,F,4,15 mph,WNW,Partly Sunny
2025-11-10 16:26:00,Wilmington,56,F,0,14 mph,W,Sunny
2025-11-10 16:26:00,Raleigh,51,F,0,12 mph,W,Sunny
2025-11-10 16:26:00,Charlotte,46,F,4,15 mph,WNW,Partly Sunny
2025-11-10 16:29:00,Wilmington,56,F,0,14 mph,W,Sunny
2025-11-10 16:29:00,Raleigh,51,F,0,12 mph,W,Sunny
2025-11-10 16:29:00,Charlotte,46,F,4,15 mph,WNW,Partly Sunny
2025-11-10 17:03:00,Wilmington,56,F,0,12 mph,W,Sunny
2025-11-10 17:03:00,Raleigh,51,F,0,12 mph,W,Sunny
2025-11-10 17:03:00,Charlotte,46,F,4,15 mph,WNW,Partly Sunny
2025-11-10 18:32:00,Wilmington,56,F,0,12 mph,W,Sunny
2025-11-10 18:32:00,Raleigh,28,F,27,13 mph,W,Partly Cloudy then Chance Snow Showers
2025-11-10 18:32:00,Charlotte,46,F,4,15 mph,WNW,Mostly Cloudy
2025-11-10 21:46:00,Wilmington,32,F,21,10 to 15 mph,W,Slight Chance Rain And Snow Showers
2025-11-10 21:46:00,Raleigh,28,F,27,13 mph,NW,Partly Cloudy then Chance Snow Showers
